time,callsign,latitude,longitude,tas,heading,altitude
2016-08-15 17:01:42,A7,37.61,-122.38414,19,239,0.13
2016-08-15 17:01:43,A7,37.60993,-122.3842,19,231,0.13
2016-08-15 17:01:44,A7,37.60989,-122.38427,18,251,0.06
2016-08-15 17:01:45,A7,37.60982,-122.38433,17,231,0.13
2016-08-15 17:01:46,A7,37.60976,-122.38439,17,235,0.13
2016-08-15 17:01:48,A7,37.60964,-122.38449,17,230,0.13
2016-08-15 17:01:50,A7,37.6095,-122.38459,17,226,0.13
2016-08-15 17:01:51,A7,37.60944,-122.38465,18,235,0.13
2016-08-15 17:01:52,A7,37.60937,-122.38471,18,231,0.13
2016-08-15 17:01:53,A7,37.6093,-122.38476,18,226,0.13
2016-08-15 17:01:54,A7,37.60924,-122.38483,18,239,0.13
2016-08-15 17:01:55,A7,37.60917,-122.38488,18,226,0.13
2016-08-15 17:01:56,A7,37.60909,-122.38493,19,223,0.13
2016-08-15 17:01:57,A7,37.60902,-122.38498,19,226,0.13
2016-08-15 17:01:58,A7,37.6089,-122.38498,19,197,0.13
2016-08-15 17:01:59,A7,37.60882,-122.38497,17,191,0.13
2016-08-15 17:02:00,A7,37.60875,-122.38496,18,190,0.13
2016-08-15 17:02:01,A7,37.60869,-122.38499,18,218,0.13
2016-08-15 17:02:02,A7,37.6086,-122.38501,19,207,0.13
2016-08-15 17:02:03,A7,37.60851,-122.38501,20,197,0.13
2016-08-15 17:02:04,A7,37.60841,-122.38499,21,188,0.13
2016-08-15 17:02:05,A7,37.60832,-122.38499,21,197,0.13
2016-08-15 17:02:06,A7,37.60822,-122.385,21,201,0.13
2016-08-15 17:02:07,A7,37.60814,-122.385,20,197,0.13
2016-08-15 17:02:08,A7,37.60805,-122.38501,21,202,0.13
2016-08-15 17:02:09,A7,37.60796,-122.385,21,192,0.13
2016-08-15 17:02:10,A7,37.60786,-122.38501,21,201,0.13
2016-08-15 17:02:11,A7,37.60776,-122.38499,21,188,0.13
2016-08-15 17:02:12,A7,37.60767,-122.38498,22,192,0.13
2016-08-15 17:02:13,A7,37.60759,-122.38498,20,197,0.13
2016-08-15 17:02:14,A7,37.60747,-122.38498,19,197,0.13
2016-08-15 17:02:15,A7,37.60739,-122.38498,20,197,0.13
